cId,cUrlId,cTitle,cType
c0,b55b50b1-aae7-47a7-b042-8aecc930073d,International Conference on Human Factors in Computing Systems,expertGroup
c1,a36dc29e-4ea1-4567-b0fe-1c06daf8bee8,International Conference on Software Engineering,expertGroup
c2,5f087f3f-d96b-4da6-8049-604ac2349c44,IEEE Aerospace Conference,workshop
c3,b24455f0-c8b2-4062-8397-1dc279bf6407,International Conference on Evaluation & Assessment in Software Engineering,workshop
c4,4a63d235-b8de-41aa-b5f7-b28efb66f736,International Conference on Software Technology: Methods and Tools,symposium
c5,75ef5c3a-ff34-47cf-bfce-93c95be12dbc,International Conference on Agile Software Development,workshop
c6,29df4b17-9a16-4a4c-94a6-002f52e628b4,International Conference on Parallel Processing,symposium
c7,551c612b-e5be-49e2-9063-380cc52ee187,International Conference on Intelligent Robotics and Applications,workshop
c8,69d79d4c-49aa-4c2b-b616-80100a634f67,Networks,symposium
c9,f8e3f8d0-0f40-48c0-b3c0-0c540237b859,Human Language Technology - The Baltic Perspectiv,symposium
