jId,jUrlId,jTitle
j0,458166b3-de17-4bf3-bbbb-e53782de2f0f,Nature Biotechnology
j1,c6840156-ee10-4d78-8832-7f8909811576,IEEE Transactions on Knowledge and Data Engineering
j2,7a7dc89b-e1a6-44df-a496-46c330a87840,SN Computer Science
j3,6076bd95-0124-4b5d-8346-476b7287818c,"Shanlax International Journal of Arts, Science and Humanities"
j4,41dbb273-8d18-4a45-8154-852882a37b34,Genome Biology
j5,099483df-e8f2-4bee-805d-8a69f07b6cbf,Nature Methods
j6,c3875580-2cce-4a95-a094-fff60bb381b9,International Journal of Data Science and Analysis
j7,d60da343-ab92-4310-b3d7-2c0860287a9d,Journal of Big Data
j8,3c27e831-750f-45bc-9914-2148a5259eba,IEEE Transactions on Artificial Intelligence
j9,f458795b-af97-4b7c-ba4e-d57bbb57f90a,Chemical Reviews
j10,f528e58c-0e4e-45b0-9456-832847244f0e,Empirical Software Engineering
j11,c99cfe66-b71c-4ca4-bedd-26267b9cb068,IEEE Transactions on Software Engineering
j12,518d38cf-179f-480b-b32a-c9d4e6bba46e,Informatik-Spektrum
j13,64ae7767-9467-4e70-9e31-e4185f9f16ff,Information and Software Technology
j14,705a5f2b-aaf1-41fb-bc28-be78040b4587,Nature Protocols
j15,da96c220-cd39-4894-bae6-d2d77c8e7aa9,Nucleic Acids Research
j16,a7d48414-e40b-4441-829e-d9a349bea6fb,Journal of Molecular Biology
j17,027ffd21-ebb0-4af8-baf5-911124292fd0,bioRxiv
j18,1236e136-01b7-42d5-8c4a-593153a3ab37,Journal of Open Source Software
j19,2ca4279c-8ed7-4280-8022-09e577923a09,Frontiers in Neuroscience
j20,c9c5c542-7b79-4541-b4d2-62ba2238733e,Frontiers in Bioengineering and Biotechnology
j21,99191383-4095-456f-adc6-961e93a6a853,Dialogues in Clinical Neuroscience
j22,6faaccca-1cc4-45a9-aeb6-96a4901d2606,Proceedings of the IEEE
j23,0be18492-3c25-4a50-846f-165b92b3fb83,Journal of manufacturing science and engineering
j24,47ba6266-85d0-494a-a55a-927f8c599119,Engineering computations
j25,7e036404-bf67-4f4e-98c7-687e5b81692e,Bulletin of the Australian Mathematical Society
j26,62924b2a-8fb8-4b93-92c6-735516b49af0,Scientific Data
j27,79ddd452-3c10-473b-9f28-5c7dd0dc4553,International Journal of Systematic and Evolutionary Microbiology
j28,25248f80-fe99-48e5-9b8e-9baef3b8e23b,IEEE Transactions on Pattern Analysis and Machine Intelligence
